system,model,version,setup_ms,prove_ms,verify_ms,proof_size_bytes,soundness_bits_per_round
zk-compile,dense_4m,funding-readiness@HEAD,0.0,26.3,0.2,2120,124
ezkl,dense_4m,ezkl==23.0.5,74737.0,62456.6,1281.8,169827,128
